feature,importance
Customer service calls,0.16360380053264012
International plan,0.13203632906451374
Total day minutes,0.12750697834189184
Total day charge,0.12253935253881873
Total intl calls,0.0770718167806007
Total eve minutes,0.05079100523311501
Total eve charge,0.048161275816268695
Total intl charge,0.0391592172173898
Total intl minutes,0.03885312659089934
Total night charge,0.03123596090898685
Total night minutes,0.02913357764526119
Number vmail messages,0.02820293058849191
Total day calls,0.023931912453772623
Total night calls,0.023010180334228067
Account length,0.02276147747138465
Total eve calls,0.02243723947107978
Voice mail plan,0.019563819010656895
