feature,importance
Customer service calls,0.16439825451057782
International plan,0.1307607775858112
Total day minutes,0.12467867893580327
Total day charge,0.12415291699112764
Total intl calls,0.07927934603487807
Total eve minutes,0.04933561317829142
Total eve charge,0.04844622809447053
Total intl charge,0.039257515272620655
Total intl minutes,0.03883302565710686
Total night minutes,0.031540027048152106
Total night charge,0.029118726008218063
Number vmail messages,0.028980602599524126
Total night calls,0.02383012717993638
Total day calls,0.02364382190982329
Total eve calls,0.02311200042681243
Account length,0.021607286021840397
Voice mail plan,0.019025052545005673
