feature,importance
Customer service calls,0.16710526584328186
International plan,0.13322739653548013
Total day charge,0.12616862613348537
Total day minutes,0.12189813816464119
Total intl calls,0.07646393100985827
Total eve charge,0.0488383495256651
Total eve minutes,0.04743693147715971
Total intl charge,0.03974724475644659
Total intl minutes,0.03897283102303184
Total night minutes,0.02994340063375283
Total night charge,0.0298404669364215
Number vmail messages,0.02868267798398678
Total eve calls,0.02393457944305355
Total day calls,0.023543662557324894
Total night calls,0.022901863780918515
Account length,0.02126102187242852
Voice mail plan,0.020033612323063336
